Port,Protocol,Count
0,tcp,1
1,tcp,1
2,tcp,1
3,tcp,1
4,tcp,1
5,tcp,1
6,tcp,1
7,tcp,1
8,tcp,1
9,tcp,1
10,tcp,1
11,tcp,1
12,tcp,1
13,tcp,1
14,tcp,1
15,tcp,1
16,tcp,1
17,tcp,1
18,tcp,1
19,tcp,1
20,tcp,1
21,tcp,1
22,tcp,1
23,tcp,1
24,tcp,1
25,tcp,1
26,tcp,1
27,tcp,1
28,tcp,1
29,tcp,1
30,tcp,1
31,tcp,1
32,tcp,1
33,tcp,1
34,tcp,1
35,tcp,1
36,tcp,1
37,tcp,1
38,tcp,1
39,tcp,1
40,tcp,1
41,tcp,1
42,tcp,1
43,tcp,1
44,tcp,1
45,tcp,1
46,tcp,1
47,tcp,1
48,tcp,1
49,tcp,1
50,tcp,1
51,tcp,1
52,tcp,1
53,tcp,1
54,tcp,1
55,tcp,1
56,tcp,1
57,tcp,1
58,tcp,1
59,tcp,1
60,tcp,1
61,tcp,1
62,tcp,1
63,tcp,1
64,tcp,1
65,tcp,1
66,tcp,1
67,tcp,1
68,tcp,1
69,tcp,1
70,tcp,1
71,tcp,1
72,tcp,1
73,tcp,1
74,tcp,1
75,tcp,1
76,tcp,1
77,tcp,1
78,tcp,1
79,tcp,1
80,tcp,1
81,tcp,1
82,tcp,1
83,tcp,1
84,tcp,1
85,tcp,1
86,tcp,1
87,tcp,1
88,tcp,1
89,tcp,1
90,tcp,1
91,tcp,1
92,tcp,1
93,tcp,1
94,tcp,1
95,tcp,1
96,tcp,1
97,tcp,1
98,tcp,1
99,tcp,1
100,tcp,1
101,tcp,1
102,tcp,1
103,tcp,1
104,tcp,1
105,tcp,1
106,tcp,1
107,tcp,1
108,tcp,1
109,tcp,1
110,tcp,1
111,tcp,1
112,tcp,1
113,tcp,1
114,tcp,1
115,tcp,1
116,tcp,1
117,tcp,1
118,tcp,1
119,tcp,1
120,tcp,1
121,tcp,1
122,tcp,1
123,tcp,1
124,tcp,1
125,tcp,1
126,tcp,1
127,tcp,1
128,tcp,1
129,tcp,1
130,tcp,1
131,tcp,1
132,tcp,1
133,tcp,1
134,tcp,1
135,tcp,1
136,tcp,1
137,tcp,1
138,tcp,1
139,tcp,1
140,tcp,1
141,tcp,1
142,tcp,1
143,tcp,1
144,tcp,1
145,tcp,1
146,tcp,1
147,tcp,1
148,tcp,1
149,tcp,1
150,tcp,1
151,tcp,1
152,tcp,1
153,tcp,1
154,tcp,1
155,tcp,1
156,tcp,1
157,tcp,1
158,tcp,1
159,tcp,1
160,tcp,1
161,tcp,1
162,tcp,1
163,tcp,1
164,tcp,1
165,tcp,1
166,tcp,1
167,tcp,1
168,tcp,1
169,tcp,1
170,tcp,1
171,tcp,1
172,tcp,1
173,tcp,1
174,tcp,1
175,tcp,1
176,tcp,1
177,tcp,1
178,tcp,1
179,tcp,1
180,tcp,1
181,tcp,1
182,tcp,1
183,tcp,1
184,tcp,1
185,tcp,1
186,tcp,1
187,tcp,1
188,tcp,1
189,tcp,1
190,tcp,1
191,tcp,1
192,tcp,1
193,tcp,1
194,tcp,1
195,tcp,1
196,tcp,1
197,tcp,1
198,tcp,1
199,tcp,1
200,tcp,1
201,tcp,1
202,tcp,1
203,tcp,1
204,tcp,1
205,tcp,1
206,tcp,1
207,tcp,1
208,tcp,1
209,tcp,1
210,tcp,1
211,tcp,1
212,tcp,1
213,tcp,1
214,tcp,1
215,tcp,1
216,tcp,1
217,tcp,1
218,tcp,1
219,tcp,1
220,tcp,1
221,tcp,1
222,tcp,1
223,tcp,1
224,tcp,1
225,tcp,1
226,tcp,1
227,tcp,1
228,tcp,1
229,tcp,1
230,tcp,1
231,tcp,1
232,tcp,1
233,tcp,1
234,tcp,1
235,tcp,1
236,tcp,1
237,tcp,1
238,tcp,1
239,tcp,1
240,tcp,1
241,tcp,1
242,tcp,1
243,tcp,1
244,tcp,1
245,tcp,1
246,tcp,1
247,tcp,1
248,tcp,1
249,tcp,1
250,tcp,1
251,tcp,1
252,tcp,1
253,tcp,1
254,tcp,1
255,tcp,1
256,tcp,1
257,tcp,1
258,tcp,1
259,tcp,1
260,tcp,1
261,tcp,1
262,tcp,1
263,tcp,1
264,tcp,1
265,tcp,1
266,tcp,1
267,tcp,1
268,tcp,1
269,tcp,1
270,tcp,1
271,tcp,1
272,tcp,1
273,tcp,1
274,tcp,1
275,tcp,1
276,tcp,1
277,tcp,1
278,tcp,1
279,tcp,1
280,tcp,1
281,tcp,1
282,tcp,1
283,tcp,1
284,tcp,1
285,tcp,1
286,tcp,1
287,tcp,1
288,tcp,1
289,tcp,1
290,tcp,1
